Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD
532,388,507,506,515,504,495,510,F0
533,388,507,508,501,504,490,510,F0
533,389,507,507,514,505,495,508,F0
534,390,507,507,503,504,492,509,F0
532,390,508,505,515,508,495,510,F0
532,390,508,507,514,504,495,509,F0
534,391,507,507,514,505,494,510,F0
532,391,506,506,514,505,494,512,F0
531,394,506,506,514,499,494,510,F0
532,390,508,505,514,505,494,510,F0
533,389,508,506,514,503,495,509,F0
532,391,508,506,514,504,495,508,F0
533,389,506,496,514,500,494,511,F0
532,386,508,508,513,505,495,509,F0
534,389,508,506,514,505,494,509,F0
534,389,508,505,515,504,495,510,F0
531,388,506,507,514,505,511,510,F0
535,388,508,506,507,505,494,509,F0
532,388,507,506,515,505,495,509,F0
534,389,507,506,512,505,493,509,F0
534,392,507,505,514,505,494,509,F0
533,393,509,508,514,496,495,509,F0
532,392,507,506,514,506,494,509,F0
532,391,507,507,514,505,494,509,F0
534,389,508,506,514,504,494,509,F0
533,388,507,506,515,500,494,510,F0
533,388,506,507,517,504,503,509,F0
532,387,509,507,514,504,494,509,F0
533,387,506,506,520,505,498,509,F0
533,386,508,507,514,504,494,509,F0
531,388,502,506,508,505,489,509,F0
531,388,507,506,516,505,495,511,F0
532,389,508,505,515,504,476,510,F0
533,389,507,507,514,505,493,508,F0
532,389,508,507,514,505,440,510,F0
534,390,505,508,515,519,494,509,F0
535,390,507,507,514,505,494,509,F0
532,389,507,506,514,507,494,509,F0
534,391,507,506,514,505,494,509,F0
533,391,505,495,514,492,493,508,F0
532,392,506,510,514,507,494,509,F0
531,391,506,508,515,505,493,507,F0
532,390,507,505,514,504,494,508,F0
533,389,508,507,514,505,494,523,F0
529,389,506,506,506,505,490,510,F0
531,388,506,506,515,504,494,509,F0
532,389,507,506,507,505,491,509,F0
535,390,509,506,514,505,494,509,F0
534,391,509,506,503,505,492,509,F0
532,391,508,508,514,508,494,509,F0
534,392,508,507,514,505,494,509,F0
531,391,508,506,514,505,493,510,F0
533,391,505,507,514,505,494,509,F0
530,377,506,511,514,499,494,512,F0
532,391,506,507,514,505,494,509,F0
532,391,509,507,514,498,495,510,F0
531,389,507,507,514,505,494,509,F0
531,388,507,507,514,470,494,508,F0
532,389,507,506,519,505,500,510,F0
533,387,506,505,514,504,494,509,F0
532,387,506,506,520,504,496,510,F0
532,389,509,507,514,505,494,509,F0
531,387,510,506,508,504,480,509,F0
532,389,508,508,516,505,494,509,F0
532,389,509,505,515,505,485,508,F0
533,389,508,505,514,504,493,509,F0
533,389,508,506,515,505,466,509,F0
534,390,508,506,515,517,494,509,F0
533,390,506,507,514,505,494,508,F0
531,393,506,508,514,507,493,509,F0
532,390,508,507,515,505,493,508,F0
533,389,508,502,514,502,494,509,F0
532,389,507,508,513,505,494,510,F0
531,388,506,508,514,505,494,509,F0
530,386,507,506,516,504,494,509,F0
532,388,507,506,515,505,493,510,F0
534,386,508,506,512,505,486,509,F0
531,387,507,508,515,505,494,509,F0
532,388,505,505,502,505,488,510,F0
532,389,506,507,514,504,494,509,F0
535,391,509,506,521,505,478,510,F0
534,392,508,506,515,513,494,509,F0
531,390,507,507,514,505,493,510,F0
532,389,508,505,514,506,494,509,F0
534,388,506,506,515,505,493,509,F0
532,389,506,509,515,503,493,509,F0
533,387,507,507,513,504,494,509,F0
534,386,506,509,514,505,493,508,F0
532,387,509,508,516,505,494,510,F0
532,386,508,506,515,505,493,508,F0
531,388,509,505,510,505,487,510,F0
532,386,506,505,515,504,495,509,F0
532,387,506,506,502,505,489,509,F0
533,388,509,506,514,505,493,510,F0
533,389,507,507,521,505,479,510,F0
533,391,507,505,515,514,493,509,F0
535,391,508,506,515,505,493,509,F0
533,389,509,506,515,504,493,510,F0
533,389,508,507,514,505,493,510,F0
534,390,507,502,514,502,493,509,F0
533,388,508,507,513,504,493,509,F0
532,389,508,506,515,505,493,508,F0
533,388,508,506,517,505,494,509,F0
532,386,509,506,514,505,493,510,F0
534,387,508,505,510,505,480,509,F0
532,389,507,506,515,505,493,509,F0
531,387,509,506,507,505,490,510,F0
534,389,507,507,514,505,493,510,F0
532,388,510,507,515,504,496,511,F0
533,390,508,504,515,505,492,509,F0
532,389,508,505,514,502,493,510,F0
532,388,506,506,514,504,493,509,F0
533,389,506,506,515,503,493,509,F0
531,388,508,507,514,505,493,510,F0
532,389,508,505,515,504,500,510,F0
533,389,507,506,515,505,493,509,F0
534,388,508,506,516,505,495,508,F0
534,391,506,507,514,505,493,511,F0
532,390,507,508,514,508,493,509,F0
534,391,507,507,515,505,492,510,F0
531,389,507,504,514,496,493,509,F0
531,389,508,508,515,506,492,508,F0
532,391,508,507,514,500,492,510,F0
532,389,507,506,515,505,493,510,F0
531,387,507,505,514,497,492,509,F0
531,387,507,506,513,505,493,509,F0
533,388,508,508,515,505,498,510,F0
531,387,508,507,515,505,493,509,F0
532,385,507,508,531,505,477,509,F0
532,387,508,505,517,505,494,509,F0
531,388,508,506,515,504,480,509,F0
531,388,507,506,515,505,492,509,F0
533,389,508,508,512,505,485,510,F0
533,391,508,506,515,507,492,508,F0
532,390,507,505,514,505,492,509,F0
532,392,507,505,515,505,492,510,F0
533,391,508,507,515,502,492,508,F0
533,392,506,508,514,509,492,509,F0
532,390,507,506,515,505,493,508,F0
533,388,508,506,515,505,492,509,F0
533,389,508,507,515,487,492,509,F0
532,388,507,506,514,505,493,508,F0
534,389,507,508,515,505,492,510,F0
531,388,506,506,515,505,493,509,F0
531,386,509,505,544,505,474,510,F0
534,389,509,507,517,505,495,509,F0
531,388,507,506,515,505,487,509,F0
531,389,508,507,514,505,492,509,F0
533,389,506,506,520,505,478,508,F0
533,388,507,507,515,508,492,510,F0
532,391,510,505,515,505,492,509,F0
532,389,507,506,515,505,492,509,F0
534,392,506,507,515,524,491,507,F0
533,392,507,508,515,510,491,509,F0
530,390,507,506,515,505,492,506,F0
530,390,507,507,515,505,492,510,F0
533,388,507,506,515,482,492,511,F0
533,389,507,507,515,504,494,509,F0
531,388,506,506,514,505,492,509,F0
532,386,507,508,516,505,492,509,F0
531,389,507,507,514,504,493,510,F0
532,388,508,507,514,505,496,508,F0
532,388,508,506,515,505,491,508,F0
532,389,508,506,514,505,492,510,F0
533,388,506,506,515,505,466,508,F0
532,389,509,507,515,510,492,509,F0
535,391,508,505,515,505,492,509,F0
533,392,509,507,515,505,492,509,F0
533,388,507,506,515,504,492,504,F0
532,390,506,507,515,511,492,510,F0
530,389,508,507,514,505,492,509,F0
532,391,507,507,515,504,492,509,F0
533,388,507,507,515,505,492,514,F0
532,388,506,506,518,505,501,509,F0
532,386,507,507,515,505,492,508,F0
534,386,506,508,517,505,493,510,F0
533,387,507,506,515,505,491,510,F0
534,388,508,506,509,505,491,510,F0
531,389,506,507,515,505,492,510,F0
535,388,506,507,514,505,491,509,F0
534,390,507,506,515,505,491,509,F0
534,390,506,508,515,518,492,511,F0
531,389,507,507,515,505,492,509,F0
532,390,504,508,515,506,491,510,F0
531,391,509,507,515,505,491,513,F0
533,388,508,506,515,506,492,511,F0
531,387,507,507,515,505,492,510,F0
532,388,510,508,518,505,493,510,F0
531,386,508,507,515,505,492,508,F0
531,388,506,507,507,505,491,509,F0
530,388,506,508,515,505,492,509,F0
529,388,508,508,514,505,491,510,F0
531,389,505,506,515,505,492,509,F0
532,388,508,506,515,518,492,509,F0
533,389,506,506,515,505,491,509,F0
532,390,507,506,515,505,492,509,F0
531,390,508,508,515,505,491,516,F0
535,392,508,508,515,507,491,510,F0
532,390,506,505,515,505,491,509,F0
534,390,507,507,515,505,491,510,F0
533,386,510,507,515,505,491,523,F0
532,390,506,506,518,505,503,509,F0
534,388,508,505,515,505,491,509,F0
532,389,508,506,517,504,493,508,F0
532,386,509,507,515,505,491,509,F0
534,388,507,507,511,505,495,508,F0
532,388,506,507,515,505,492,508,F0
530,389,506,506,514,505,491,509,F0
531,389,509,507,515,505,491,509,F0
531,389,506,508,516,516,492,510,F0
532,390,510,508,515,505,491,510,F0
533,390,507,505,515,505,491,511,F0
532,390,508,507,515,505,491,511,F0
533,389,510,508,515,505,491,509,F0
533,391,507,488,515,494,491,510,F0
532,391,506,506,515,512,491,509,F0
529,391,508,508,515,505,491,509,F0
531,391,506,507,515,504,491,509,F0
533,389,508,506,515,505,491,509,F0
532,389,507,506,515,504,491,512,F0
532,388,506,508,515,505,507,510,F0
533,388,509,508,513,505,491,510,F0
532,388,507,506,515,504,491,509,F0
